"Ticker","Company","Sector","Industry","Market Cap","P/E","Dividend Yield","EPS growth past 5 years","Sales growth past 5 years","Shares Outstanding","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Operating Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Analyst Recom","Price","Change","Volume","Target Price"
"GLTO","Galecto, Inc.","Healthcare","Biotechnology",88.70,,,,,25.26,0.20%,62.82%,51.10%,-0.46%,0.32%,,4.78%,2.63%,-9.30%,-27.33%,-78.99%,-71.94%,,3.72%,-5.82%,-11.41%,-43.10%,-82.05%,-0.92%,35.63,1.20,3.23,-7.98%,409144,13.00
"GLTR","Aberdeen Standard Physical Precious Metals Basket Shares ETF","Financial","Exchange Traded Fund",,,,,,,,,,,,,2.56%,5.60%,2.24%,-8.23%,-1.11%,-4.70%,,0.89%,2.72%,4.69%,-1.17%,-9.64%,10.90%,63.66,,93.62,-0.72%,94405,
"GLU","The Gabelli Global Utility & Income Trust","Financial","Closed-End Fund - Equity",108.76,81.61,5.93%,,,5.37,2.85%,0.74%,15.24%,,,,-1.56%,-0.05%,-5.42%,-10.05%,15.99%,9.88%,,1.02%,0.76%,1.19%,-0.44%,-14.72%,21.43%,56.02,,20.51,1.33%,4924,
"GLUE","Monte Rosa Therapeutics, Inc.","Healthcare","Biotechnology",1045.35,,,,,45.99,0.90%,0.00%,81.90%,1.51%,5.54%,,-4.84%,8.49%,-29.64%,,,8.59%,,10.34%,-10.49%,-12.98%,-17.17%,-51.95%,25.88%,43.32,1.70,21.89,-4.83%,71336,34.50
"GLV","Clough Global Dividend and Income Fund","Financial","Asset Management",96.35,,10.12%,,,8.41,0.21%,160.97%,26.71%,,,,-0.87%,0.17%,-4.50%,-4.42%,20.38%,10.56%,,1.15%,-0.10%,0.51%,-0.25%,-7.90%,19.94%,50.77,,11.43,-0.26%,64344,
"GLW","Corning Incorporated","Technology","Electronic Components",32300.96,41.21,2.48%,-11.70%,4.40%,852.00,0.10%,-25.97%,68.80%,-0.78%,1.81%,15.30%,0.60%,1.98%,-4.14%,-10.79%,8.01%,7.50%,1.10,2.09%,2.95%,2.63%,-4.58%,-17.45%,11.05%,56.97,1.90,38.65,-0.13%,2309167,44.54
"GLYC","GlycoMimetics, Inc.","Healthcare","Biotechnology",105.50,,,-10.70%,-12.70%,51.56,0.10%,0.00%,65.00%,-0.57%,1.47%,,6.47%,8.08%,14.44%,-16.08%,-38.68%,-43.09%,1.87,4.77%,0.70%,-3.70%,-20.34%,-54.55%,12.36%,48.23,2.20,2.00,-6.54%,460811,11.00
"GM","General Motors Company","Consumer Cyclical","Auto Manufacturers",89145.37,8.42,,-6.00%,-2.00%,1452.00,4.92%,-0.45%,83.50%,0.70%,1.87%,8.10%,5.65%,8.57%,24.77%,12.67%,52.88%,51.22%,1.20,2.80%,8.07%,13.68%,11.84%,-2.63%,56.37%,69.26,1.70,62.61,-0.57%,15745943,72.54
"GMAB","Genmab A/S","Healthcare","Biotechnology",26900.35,,,,,653.40,,,7.04%,,0.20%,,-12.16%,-7.34%,-11.61%,8.94%,13.67%,1.25%,,1.62%,-8.86%,-6.89%,0.56%,-16.18%,36.64%,35.27,2.40,41.13,-0.10%,461101,46.36
"GMBL","Esports Entertainment Group, Inc.","Consumer Cyclical","Gambling",130.89,,,,,20.97,25.31%,0.00%,10.20%,1.73%,9.36%,,0.47%,0.15%,-22.33%,-31.39%,46.05%,1.89%,0.82,8.83%,5.71%,-4.28%,-39.56%,-73.57%,63.80%,51.35,1.80,6.47,0.00%,1139311,19.67
"GMBTU","Queen's Gambit Growth Capital","Financial","Shell Companies",,,,,,,,,39.28%,,,,-0.29%,0.69%,0.59%,2.92%,,-4.49%,,0.33%,0.90%,1.47%,1.26%,-11.03%,10.00%,69.14,,10.31,0.89%,37844,
"GMDA","Gamida Cell Ltd.","Healthcare","Biotechnology",194.41,,,,,59.34,28.15%,0.00%,45.60%,0.91%,3.85%,,-19.24%,-15.00%,-27.35%,-48.72%,-43.33%,-59.48%,,6.04%,-17.69%,-17.62%,-47.77%,-77.93%,1.22%,32.46,1.90,3.31,-2.65%,341394,17.14
"GME","GameStop Corp.","Consumer Cyclical","Specialty Retail",16172.80,,,-23.50%,-11.50%,72.60,1.90%,-0.13%,29.80%,-8.13%,11.25%,-2.60%,-4.35%,14.11%,27.88%,15.76%,1799.55%,1010.08%,-1.95,7.03%,5.95%,8.90%,16.96%,-57.11%,1832.65%,57.32,4.00,207.18,-0.94%,1197006,88.00
"GMED","Globus Medical, Inc.","Healthcare","Medical Devices",7125.72,38.94,,-2.90%,7.70%,101.10,0.85%,-13.25%,71.30%,1.26%,1.49%,22.50%,-8.69%,-7.38%,-9.32%,-1.52%,24.89%,8.54%,1.06,2.81%,-7.32%,-8.94%,-2.78%,-15.46%,28.77%,31.29,2.30,71.21,0.59%,801314,86.15
"GMF","SPDR S&P Emerging Asia Pacific ETF","Financial","Exchange Traded Fund",,,1.25%,,,,,,,,,,1.15%,0.99%,6.24%,-0.52%,6.52%,1.73%,,0.69%,1.49%,2.48%,-0.51%,-11.33%,8.63%,60.02,,130.15,0.49%,17864,
"GMIIU","Gores Metropoulos II, Inc.","Financial","Shell Companies",,,,,,,,,8.26%,,0.04%,,-0.29%,0.68%,1.98%,1.98%,,-7.53%,,0.45%,0.89%,1.40%,1.19%,-11.11%,6.01%,64.10,,10.40,0.78%,21927,
"GMOM","Cambria Global Momentum ETF","Financial","Exchange Traded Fund",,,1.38%,,,,,,,,,,-0.34%,0.97%,6.51%,2.78%,26.12%,20.25%,,0.57%,0.69%,2.79%,5.11%,-2.19%,26.56%,57.43,,31.15,-0.05%,3972,
"GMRE","Global Medical REIT Inc.","Real Estate","REIT - Healthcare Facilities",1080.68,109.22,4.88%,51.80%,114.60%,64.20,0.10%,1.58%,75.60%,-0.54%,1.71%,14.00%,-0.47%,6.12%,11.98%,18.12%,18.37%,28.79%,0.86,1.87%,0.02%,5.25%,12.47%,-4.43%,34.11%,56.81,1.40,16.63,-1.13%,204312,18.33
"GMS","GMS Inc.","Industrials","Building Products & Equipment",2489.86,17.97,,45.10%,12.20%,43.09,0.40%,334.75%,,-0.49%,2.20%,6.70%,-2.23%,23.67%,19.37%,26.17%,99.06%,88.22%,2.03,3.39%,12.06%,20.90%,30.73%,-2.65%,119.50%,72.01,2.10,58.76,2.42%,214943,60.67
"GMTX","Gemini Therapeutics, Inc.","Healthcare","Biotechnology",153.47,,,,,43.04,0.10%,92.98%,71.90%,0.57%,5.42%,,-2.98%,-3.76%,1.13%,-67.60%,-64.73%,-67.45%,,6.31%,7.78%,-1.84%,-53.94%,-79.46%,21.74%,56.62,1.20,3.92,9.50%,142452,22.67
"GMVD","G Medical Innovations Holdings Ltd","Healthcare","Medical Instruments & Supplies",28.37,,,,,132.87,,,67.60%,1.05%,2.68%,,-4.55%,-7.89%,-5.41%,897.62%,100.00%,-8.70%,,11.10%,-6.97%,-12.60%,-11.18%,-62.55%,1203.80%,39.64,,2.06,-1.90%,39581,
"GNAC","Group Nine Acquisition Corp.","Financial","Shell Companies",281.47,,,,,28.75,,,67.10%,0.37%,0.09%,,0.41%,0.51%,0.41%,-1.71%,,-6.68%,,0.27%,0.37%,0.59%,0.07%,-6.58%,1.77%,57.10,,9.79,0.10%,1,
"GNACU","Group Nine Acquisition Corp.","Financial","Shell Companies",,,,,,,,,57.35%,,,,-0.20%,0.10%,-0.70%,-2.55%,,-10.54%,,0.18%,-0.16%,0.11%,-1.75%,-17.25%,1.53%,47.45,,9.93,0.00%,0,
"GNAF","MicroSectors FANG+ Index Inverse ETN","Financial","Exchange Traded Fund",,,,,,,,,,,,,0.84%,-7.36%,-13.94%,-24.03%,-36.95%,-26.01%,,0.50%,-1.63%,-6.51%,-13.75%,-36.32%,1.89%,37.67,,12.33,0.00%,0,
"GNCA","Genocea Biosciences, Inc.","Healthcare","Biotechnology",95.32,,,41.10%,15.20%,69.81,8.46%,0.00%,60.70%,0.01%,2.99%,,-6.86%,-7.39%,-8.43%,-30.04%,-21.26%,-32.64%,1.40,5.61%,-7.12%,-11.27%,-29.00%,-59.70%,0.93%,37.87,1.40,1.63,0.00%,124338,6.12
"GNE","Genie Energy Ltd.","Utilities","Utilities - Regulated Electric",140.77,,6.39%,25.20%,,25.51,7.30%,0.00%,27.00%,-2.14%,0.41%,1.40%,-1.30%,-11.19%,-16.09%,-19.15%,-39.95%,-26.21%,0.38,3.60%,-6.53%,-16.66%,-20.53%,-44.09%,4.12%,34.41,3.00,5.06,-4.89%,41680,
"GNFT","Genfit SA","Healthcare","Biotechnology",166.55,,,,,47.18,,,1.40%,,0.02%,,-0.57%,-4.08%,-5.11%,-13.90%,-29.12%,-26.46%,,2.13%,-2.80%,-6.10%,-16.50%,-51.67%,0.96%,41.08,,3.48,-1.55%,2610,8.31
"GNK","Genco Shipping & Trading Limited","Industrials","Marine Shipping",642.90,26.04,0.54%,28.90%,18.20%,42.09,0.10%,-99.22%,69.60%,-2.19%,1.87%,9.20%,-7.50%,-13.05%,-15.23%,-8.30%,113.45%,102.72%,0.95,5.07%,-15.55%,-22.98%,-10.43%,-36.05%,103.91%,28.66,1.60,14.07,-5.70%,1191201,27.17
"GNL","Global Net Lease, Inc.","Real Estate","REIT - Office",1656.76,,10.08%,-16.40%,10.00%,101.48,0.10%,-62.57%,68.10%,0.30%,1.50%,28.90%,0.19%,-2.93%,-10.13%,-15.67%,-3.82%,-7.35%,1.09,1.80%,-3.53%,-4.63%,-13.47%,-22.84%,-0.45%,39.05,2.40,15.52,-2.27%,831399,22.50
"GNLN","Greenlane Holdings, Inc.","Healthcare","Pharmaceutical Retailers",166.00,,,,,18.84,7.80%,-6.04%,11.90%,10.15%,,-27.30%,10.50%,-14.16%,-10.31%,-44.29%,-26.74%,-49.49%,,8.19%,-6.34%,-21.99%,-53.97%,-79.95%,4.17%,41.10,1.60,1.75,-12.50%,3506803,5.22
"GNMA","iShares GNMA Bond ETF","Financial","Exchange Traded Fund",,,1.61%,,,,,,,,,,-0.66%,-0.57%,-0.84%,-0.92%,-2.40%,-2.61%,,0.31%,-0.13%,-0.39%,-0.80%,-2.53%,1.49%,44.32,,49.76,0.18%,15678,
"GNOG","Golden Nugget Online Gaming, Inc.","Consumer Cyclical","Gambling",1114.71,23.89,,,,46.57,8.80%,0.00%,44.10%,36.66%,9.17%,2.00%,-12.37%,-17.54%,-23.28%,17.11%,7.15%,-27.72%,,4.52%,-13.31%,-21.28%,-8.80%,-47.50%,41.29%,28.44,2.00,14.27,0.21%,322749,21.96
"GNOM","Global X Genomics & Biotechnology ETF","Financial","Exchange Traded Fund",,,,,,,,,,,,,-6.24%,-2.05%,-7.24%,0.57%,3.94%,-11.01%,,1.90%,-2.47%,-4.70%,-7.32%,-25.34%,9.85%,42.07,,21.24,1.05%,200063,
"GNPX","Genprex, Inc.","Healthcare","Biotechnology",99.83,,,-50.20%,,47.37,10.55%,0.00%,12.10%,-1.17%,5.11%,,-6.82%,-14.94%,-24.49%,-42.09%,-35.13%,-50.60%,-0.86,6.84%,-11.51%,-21.47%,-45.41%,-74.48%,-0.51%,29.54,2.00,1.97,-3.90%,517131,8.00
"GNR","SPDR S&P Global Natural Resources ETF","Financial","Exchange Traded Fund",,,2.75%,,,,,,,,,,-0.07%,-0.60%,5.06%,-2.62%,33.97%,21.88%,,0.97%,-0.31%,2.21%,3.54%,-4.90%,32.08%,52.31,,54.30,-0.51%,152328,
"GNRC","Generac Holdings Inc.","Industrials","Specialty Industrial Machinery",27586.53,52.31,,37.40%,13.50%,62.69,1.10%,-7.70%,90.40%,-1.43%,2.80%,20.90%,-3.21%,-3.93%,11.33%,46.75%,101.03%,90.92%,0.99,4.20%,-5.60%,-1.18%,15.81%,-16.33%,116.57%,44.51,1.60,438.68,1.04%,527756,527.82
"GNSS","Genasys Inc.","Technology","Scientific & Technical Instruments",185.08,19.00,,3.80%,20.70%,34.11,0.40%,3.57%,47.20%,3.81%,1.00%,7.40%,-3.58%,2.00%,-0.78%,-12.20%,-20.78%,-21.63%,0.46,3.85%,-3.22%,-3.42%,-16.40%,-40.06%,6.62%,41.46,1.70,4.99,-2.35%,187719,9.17
"GNT","GAMCO Natural Resources, Gold & Income Trust","Financial","Asset Management",116.45,,6.46%,,,20.91,0.04%,0.00%,26.15%,,,,2.20%,5.09%,5.09%,-2.28%,12.64%,9.00%,,1.38%,3.11%,5.40%,4.35%,-7.17%,15.80%,65.28,,5.57,0.00%,59929,
"GNTX","Gentex Corporation","Consumer Cyclical","Auto Parts",8771.97,21.67,1.27%,5.50%,1.80%,241.54,0.10%,-20.03%,88.40%,0.94%,2.40%,24.70%,2.78%,0.86%,17.56%,9.98%,18.34%,11.08%,0.94,2.24%,3.97%,8.90%,9.75%,-0.49%,23.82%,68.55,2.20,37.64,-0.13%,809954,37.25
"GNTY","Guaranty Bancshares, Inc.","Financial","Banks - Regional",471.32,11.93,2.02%,21.20%,12.90%,12.07,2.90%,-2.47%,22.10%,3.63%,1.07%,94.10%,-0.58%,9.84%,15.74%,2.38%,46.22%,45.59%,0.48,2.16%,1.78%,7.96%,10.26%,-4.89%,50.68%,58.18,2.20,39.26,-0.96%,5699,41.38
"GNUS","Genius Brands International, Inc.","Communication Services","Entertainment",421.41,,,0.60%,22.30%,300.65,4.85%,0.00%,25.90%,0.01%,17.54%,,-3.50%,3.76%,-6.76%,-12.10%,13.11%,0.00%,1.77,11.08%,-5.84%,-3.77%,-19.10%,-56.09%,24.55%,46.39,2.00,1.37,-0.72%,4894966,
"GNW","Genworth Financial, Inc.","Financial","Insurance - Life",2181.76,2.21,,40.10%,0.20%,507.40,0.90%,-6.20%,75.50%,0.83%,2.64%,17.80%,0.00%,-0.23%,19.61%,6.65%,-3.78%,14.55%,0.98,3.79%,-0.69%,7.18%,14.39%,-9.03%,69.14%,53.63,3.00,4.33,0.00%,1744151,4.00
"GO","Grocery Outlet Holding Corp.","Consumer Defensive","Grocery Stores",2545.25,34.65,,,,95.95,0.10%,-72.15%,99.51%,-2.70%,7.86%,3.30%,21.33%,18.03%,3.00%,-20.63%,-27.57%,-29.12%,,3.88%,18.95%,21.15%,-12.56%,-39.44%,34.27%,75.54,2.70,28.21,1.40%,1246468,28.43
"GOAC","GO Acquisition Corp.","Financial","Shell Companies",709.43,365.19,,,,71.88,,,85.90%,-0.05%,0.06%,,0.10%,0.41%,1.23%,0.41%,1.65%,-3.24%,,0.15%,0.20%,0.39%,-0.47%,-8.62%,3.68%,57.86,,9.86,0.00%,21416,
"GOAT","VanEck Vectors Morningstar Global Wide Moat ETF","Financial","Exchange Traded Fund",,,2.63%,,,,,,,,,,-0.40%,1.76%,1.97%,6.17%,20.94%,17.12%,,0.24%,0.39%,1.83%,4.44%,-1.38%,20.36%,56.18,,40.44,-0.62%,715,
"GOAU","U.S. Global GO GOLD and Precious Metal Miners ETF","Financial","Exchange Traded Fund",,,0.25%,,,,,,,,,,7.59%,10.21%,10.51%,-7.62%,-5.12%,1.46%,,1.87%,5.86%,11.43%,3.50%,-10.59%,25.08%,68.45,,19.85,-1.68%,29623,
"GOCO","GoHealth, Inc.","Financial","Insurance Brokers",1423.66,874.00,,,,320.81,0.60%,56.65%,,-2.13%,6.84%,,-6.02%,-17.08%,-7.61%,-62.65%,-61.93%,-68.01%,,7.03%,-17.33%,-17.12%,-53.54%,-73.30%,9.25%,36.05,2.20,4.37,0.00%,2289376,7.75
"GOED","1847 Goedeker Inc.","Consumer Cyclical","Internet Retail",266.14,,,,,105.61,2.80%,43.94%,38.80%,11.44%,10.55%,-18.90%,-8.03%,-28.00%,2.86%,-58.69%,-64.20%,-70.07%,,5.51%,-17.65%,-20.79%,-55.15%,-85.43%,38.42%,24.20,2.00,2.45,-2.78%,5272163,12.00
"GOEV","Canoo Inc.","Consumer Cyclical","Auto Manufacturers",1983.47,,,,,234.73,0.30%,0.00%,22.10%,3.29%,26.10%,,-6.94%,16.07%,33.07%,11.33%,-17.72%,-38.77%,,6.13%,30.34%,39.56%,10.97%,-58.03%,81.74%,72.03,2.70,10.45,23.67%,18988972,11.50
"GOEX","Global X Gold Explorers ETF","Financial","Exchange Traded Fund",,,3.39%,,,,,,,,,,7.61%,10.24%,18.77%,-4.72%,-2.40%,-4.19%,,1.52%,5.89%,12.36%,6.75%,-12.93%,26.71%,68.53,,33.07,-1.66%,7365,
"GOF","Guggenheim Strategic Opportunities Fund","Financial","Closed-End Fund - Debt",910.12,,11.54%,,,47.95,,,13.11%,,,,-1.25%,-6.55%,-11.52%,-5.34%,4.75%,-2.16%,,1.06%,-2.47%,-5.45%,-9.46%,-14.42%,4.08%,30.00,,18.88,-0.53%,610743,
"GOGL","Golden Ocean Group Limited","Industrials","Marine Shipping",1737.48,7.78,8.82%,33.30%,26.20%,199.40,5.60%,0.00%,33.60%,-1.38%,1.56%,25.10%,-3.30%,-11.83%,-16.75%,-9.48%,121.35%,83.59%,1.65,3.05%,-13.72%,-22.00%,-14.15%,-35.74%,113.08%,34.37,1.70,7.82,-8.00%,3172630,14.11
"GOGO","Gogo Inc.","Communication Services","Telecom Services",1603.00,,,15.30%,-11.60%,109.34,0.10%,-5.95%,69.50%,2.09%,18.61%,6.30%,-0.78%,-6.23%,18.86%,23.90%,45.57%,57.74%,1.00,5.32%,-9.94%,-3.88%,16.20%,-25.09%,60.26%,40.91,2.40,14.60,-3.88%,1121575,18.58
"GOL","Gol Linhas Aereas Inteligentes S.A.","Industrials","Airlines",1069.77,,,-2.70%,-8.20%,197.41,64.00%,0.00%,13.60%,-0.27%,6.46%,-39.60%,-1.96%,-14.25%,0.62%,-33.74%,-10.34%,-33.81%,1.01,5.22%,-1.52%,-12.68%,-25.07%,-46.46%,12.71%,43.78,2.50,6.12,-5.85%,2187628,9.28
"GOLD","Barrick Gold Corporation","Basic Materials","Gold",37275.99,18.76,1.72%,20.50%,6.90%,1779.00,0.10%,0.00%,72.10%,-1.45%,1.04%,41.70%,7.29%,9.25%,5.39%,-15.70%,-18.24%,-7.08%,0.35,2.17%,5.90%,8.36%,-0.28%,-19.84%,17.31%,66.13,1.90,20.60,-1.44%,18271673,28.72
"GOLF","Acushnet Holdings Corp.","Consumer Cyclical","Leisure",4090.91,18.39,1.19%,41.50%,1.40%,74.53,1.40%,-65.51%,52.20%,0.81%,10.45%,14.40%,-3.14%,16.48%,6.53%,5.92%,52.85%,36.83%,0.79,2.57%,6.80%,11.19%,16.34%,-2.70%,56.50%,66.66,2.80,56.31,1.51%,145406,58.43
"GOOD","Gladstone Commercial Corporation","Real Estate","REIT - Diversified",925.75,560.98,6.52%,27.00%,9.70%,36.77,1.54%,0.00%,51.50%,-0.19%,1.21%,24.60%,1.86%,5.80%,0.39%,10.47%,27.78%,27.78%,1.00,1.65%,2.66%,4.27%,6.75%,-2.85%,30.70%,62.98,1.70,22.82,-0.78%,152029,25.00
"GOODO","Gladstone Commercial Corporation","Real Estate","REIT - Diversified",,,5.50%,,,,,,28.97%,,0.00%,,0.48%,1.75%,4.88%,,,7.79%,,0.92%,-1.39%,-0.91%,0.41%,-7.21%,7.04%,44.05,,26.90,-1.36%,2743,25.00
"GOOG","Alphabet Inc.","Communication Services","Internet Content & Information",2050992.68,39.82,,,,686.47,0.04%,-82.96%,68.34%,,0.35%,,0.02%,5.44%,8.80%,29.71%,68.13%,70.55%,,1.99%,2.38%,4.70%,18.57%,-1.30%,75.49%,59.82,1.60,2981.52,-0.21%,858639,3279.44
"GOOGL","Alphabet Inc.","Communication Services","Internet Content & Information",1938367.48,28.59,,20.70%,19.50%,665.76,0.15%,0.00%,80.60%,0.05%,0.45%,30.30%,-0.39%,5.01%,8.63%,31.23%,67.53%,69.40%,1.06,2.04%,1.96%,4.22%,19.04%,-1.82%,74.59%,57.92,1.70,2957.52,-0.39%,939166,3262.59
"GOOS","Canada Goose Holdings Inc.","Consumer Cyclical","Apparel Manufacturing",6828.08,93.22,,20.60%,25.50%,109.78,0.75%,0.00%,96.82%,,8.70%,10.30%,4.98%,36.54%,47.87%,34.27%,52.89%,74.10%,1.52,3.74%,24.33%,33.82%,29.69%,2.33%,88.90%,77.65,1.70,53.08,2.41%,1077668,32.90
"GORO","Gold Resource Corporation","Basic Materials","Gold",164.03,78.28,1.76%,-29.20%,-0.40%,74.55,0.10%,0.00%,38.80%,-3.29%,2.79%,,16.41%,31.98%,36.75%,-20.35%,-25.33%,-21.99%,1.80,5.46%,17.25%,26.89%,-4.86%,-41.01%,43.87%,73.48,2.00,2.23,-1.76%,1029629,5.50
"GOSS","Gossamer Bio, Inc.","Healthcare","Biotechnology",911.46,,,,,75.00,0.50%,-1.79%,82.50%,1.07%,13.47%,,-12.66%,-17.13%,37.02%,29.70%,27.43%,20.58%,,5.33%,-7.13%,-3.68%,20.62%,-17.55%,67.47%,39.83,1.90,11.79,1.11%,366216,19.62
"GOTU","Gaotu Techedu Inc.","Consumer Defensive","Education & Training Services",371.04,,,,,255.95,,,70.40%,-10.98%,42.93%,-45.80%,-2.23%,-7.25%,2.68%,-87.51%,-95.62%,-94.06%,,9.03%,0.10%,2.15%,-88.22%,-97.89%,39.56%,50.09,3.20,3.14,2.28%,8320399,16.01
"GOVT","iShares U.S. Treasury Bond ETF","Financial","Exchange Traded Fund",,,0.99%,,,,,,,,,,-0.85%,-0.40%,-1.83%,0.25%,-3.83%,-3.32%,,0.32%,-0.46%,-0.87%,-0.86%,-4.42%,0.98%,41.52,,26.32,-0.06%,4841264,
"GOVX","GeoVax Labs, Inc.","Healthcare","Biotechnology",24.12,,,,33.60%,6.35,8.31%,0.00%,7.90%,,6.05%,,-3.26%,-0.77%,2.66%,-28.52%,38.85%,14.20%,1.90,5.50%,19.73%,14.52%,-2.22%,-45.12%,86.72%,64.40,,4.78,23.83%,37070437,10.00
"GP","GreenPower Motor Company Inc.","Consumer Cyclical","Auto Manufacturers",291.66,,,,,20.89,24.44%,0.00%,38.20%,,3.57%,,-13.02%,0.65%,2.27%,-13.88%,10.79%,-52.04%,,5.55%,3.23%,5.77%,-19.32%,-57.39%,21.53%,53.40,,14.68,5.16%,140656,
"GPACU","Global Partner Acquisition Corp II","Financial","Shell Companies",,,,,,,0.82%,,36.79%,,0.00%,,-0.00%,0.51%,-0.50%,-0.80%,,-3.88%,,0.26%,0.18%,0.42%,-0.86%,-7.56%,1.64%,53.25,,9.91,0.10%,19325,
"GPC","Genuine Parts Company","Consumer Cyclical","Specialty Retail",19397.88,24.31,2.38%,-24.60%,1.60%,142.87,2.84%,-0.01%,79.30%,-1.08%,1.09%,5.80%,1.40%,7.72%,10.79%,4.44%,38.35%,36.42%,1.08,1.71%,2.50%,7.58%,11.48%,-0.23%,46.18%,66.67,2.80,136.85,-0.12%,400554,138.71
"GPI","Group 1 Automotive, Inc.","Consumer Cyclical","Auto & Truck Dealerships",3656.39,6.69,0.66%,31.80%,0.40%,17.80,0.40%,-21.92%,98.88%,1.36%,10.73%,6.10%,2.34%,12.92%,24.35%,22.71%,74.50%,56.55%,1.73,3.77%,8.45%,12.79%,26.25%,0.85%,83.61%,67.74,1.90,211.50,3.02%,173348,266.00
"GPK","Graphic Packaging Holding Company","Consumer Cyclical","Packaging & Containers",6412.04,26.27,1.43%,-3.00%,9.50%,308.30,0.20%,0.04%,99.40%,-1.04%,1.60%,6.70%,2.10%,5.92%,8.11%,11.74%,43.72%,23.61%,1.20,2.25%,4.22%,7.11%,14.59%,-1.44%,43.97%,65.78,2.10,21.25,1.48%,2854220,23.69
"GPL","Great Panther Mining Limited","Basic Materials","Other Industrial Metals & Mining",97.19,,,15.10%,35.90%,356.70,3.30%,0.00%,15.10%,3.71%,0.52%,-1.80%,-26.48%,-45.22%,-36.95%,-67.80%,-66.95%,-67.23%,1.76,5.67%,-31.89%,-38.50%,-58.46%,-76.42%,9.44%,24.04,2.30,0.27,-2.08%,8103922,
"GPMT","Granite Point Mortgage Trust Inc.","Real Estate","REIT - Mortgage",721.58,9.59,7.55%,,88.50%,54.45,1.40%,6.50%,68.20%,-0.47%,1.46%,40.90%,-3.64%,-0.75%,-0.68%,-3.43%,63.17%,32.53%,1.50,2.16%,-4.71%,-4.42%,-2.55%,-19.03%,53.15%,35.29,2.20,12.89,-2.64%,438533,15.00
"GPN","Global Payments Inc.","Industrials","Specialty Business Services",37375.64,41.53,0.76%,-0.90%,20.70%,291.50,0.30%,0.38%,93.00%,1.43%,1.70%,15.60%,-2.08%,-17.93%,-21.18%,-32.61%,-30.05%,-38.82%,1.08,3.06%,-9.58%,-15.73%,-29.74%,-41.42%,1.13%,29.89,1.90,129.36,-1.84%,2328789,203.14
"GPOR","Gulfport Energy Corporation","Energy","Oil & Gas E&P",1650.93,,,3.70%,4.10%,20.60,0.60%,124.11%,56.08%,8.08%,1.21%,,-2.75%,-4.98%,23.78%,9.97%,,9.97%,,2.99%,-1.75%,-0.35%,12.71%,-9.07%,37.63%,46.54,2.70,80.80,0.72%,104410,112.67
"GPP","Green Plains Partners LP","Energy","Oil & Gas Midstream",343.39,8.18,3.27%,19.70%,10.30%,23.21,0.80%,-0.76%,21.00%,-4.37%,4.73%,58.90%,0.00%,5.00%,14.58%,20.39%,83.75%,84.91%,0.84,2.64%,-2.41%,4.55%,17.08%,-7.93%,93.32%,51.65,1.00,14.75,0.34%,63240,16.00
"GPRE","Green Plains Inc.","Basic Materials","Specialty Chemicals",2159.13,,,-53.25%,-8.30%,50.48,0.40%,-35.93%,,9.69%,19.55%,-1.90%,-9.87%,14.12%,11.04%,40.68%,144.47%,200.15%,1.73,4.67%,4.75%,12.27%,28.31%,-8.81%,238.90%,57.90,1.80,40.37,2.12%,807156,50.11
"GPRK","GeoPark Limited","Energy","Oil & Gas E&P",814.16,,0.60%,1.00%,13.40%,61.08,38.85%,0.00%,42.50%,-2.45%,0.46%,5.60%,-7.85%,-13.28%,25.81%,-14.12%,48.48%,2.08%,1.92,4.96%,-13.90%,-6.97%,-10.45%,-31.51%,45.09%,32.93,2.10,12.67,-4.45%,148780,20.46
"GPRO","GoPro, Inc.","Technology","Consumer Electronics",1698.96,5.17,,-30.70%,-11.30%,155.01,1.70%,-37.14%,75.50%,0.87%,13.29%,9.80%,17.61%,31.60%,14.71%,16.08%,62.75%,40.34%,1.12,3.96%,24.27%,24.52%,13.58%,-15.59%,82.45%,78.45,3.10,11.64,0.17%,6992805,11.00
"GPS","The Gap, Inc.","Consumer Cyclical","Apparel Retail",9395.23,15.08,1.93%,-24.10%,-2.70%,378.00,8.30%,-0.92%,57.00%,1.23%,15.95%,5.80%,1.47%,12.20%,-7.17%,-28.99%,12.55%,23.03%,1.69,3.64%,5.65%,5.77%,-11.84%,-33.40%,31.20%,58.16,2.70,25.06,0.89%,3707559,32.30
"GQRE","FlexShares Global Quality Real Estate Index Fund","Financial","Exchange Traded Fund",,,1.65%,,,,,,,,,,0.02%,3.41%,4.83%,11.31%,26.92%,24.95%,,0.62%,0.63%,3.28%,8.60%,-1.35%,28.34%,60.15,,71.55,-0.52%,7211,
"GRAY","Graybug Vision, Inc.","Healthcare","Biotechnology",67.89,,,,,21.15,0.10%,-25.61%,62.60%,-0.12%,4.25%,,-1.53%,-9.32%,-12.53%,-12.53%,-87.52%,-88.94%,,5.43%,-5.15%,-10.68%,-55.28%,-91.95%,1.33%,39.97,2.80,3.05,-4.98%,237272,4.75
