"Ticker","Company","Sector","Industry","Market Cap","P/E","Dividend Yield","EPS growth past 5 years","Sales growth past 5 years","Shares Outstanding","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Operating Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Analyst Recom","Price","Change","Volume","Target Price"
"HOG","Harley-Davidson, Inc.","Consumer Cyclical","Recreational Vehicles",5723.80,10.68,1.64%,-3.28%,-7.50%,153.86,0.10%,0.00%,94.40%,-3.17%,11.93%,14.10%,-6.63%,0.38%,-7.34%,-24.66%,-9.08%,-0.19%,1.48,3.16%,-3.88%,-2.34%,-10.66%,-9.56%,3.74%,-29.64%,17.40%,42.87,2.30,36.63,0.00%,1189737,51.40
"HOLD","AdvisorShares Sage Core Reserves ETF","Financial","Exchange Traded Fund",,,0.85%,,,,,,,,,,-0.07%,-0.09%,-0.21%,-0.34%,-0.30%,-0.68%,,0.01%,-0.04%,-0.09%,-0.24%,-0.24%,0.39%,-0.82%,0.39%,43.71,,98.43,0.02%,633,
"HOLI","Hollysys Automation Technologies Ltd.","Industrials","Electrical Equipment & Parts",996.24,13.48,1.29%,-4.00%,-1.10%,60.52,40.50%,0.00%,79.20%,-4.06%,1.03%,12.00%,-2.89%,-22.51%,-21.32%,18.47%,22.60%,5.24%,0.87,4.88%,-3.03%,-17.16%,-5.25%,-27.96%,11.49%,-28.30%,27.02%,35.55,1.60,15.23,-1.49%,181087,21.60
"HOLX","Hologic, Inc.","Healthcare","Medical Instruments & Supplies",18272.23,10.37,,44.20%,14.70%,254.88,1.10%,-1.26%,97.50%,0.13%,1.66%,43.70%,1.55%,1.94%,-5.58%,22.05%,8.10%,2.61%,1.12,2.80%,-0.10%,0.39%,2.04%,-6.88%,7.39%,-14.05%,21.56%,48.13,1.60,73.06,-2.23%,1673889,86.27
"HOMB","Home Bancshares, Inc. (Conway, AR)","Financial","Banks - Regional",4022.39,12.07,2.34%,5.20%,12.40%,164.13,3.60%,0.44%,68.40%,-0.92%,2.84%,91.70%,-6.81%,0.72%,8.04%,-12.92%,29.28%,22.84%,1.39,2.59%,-7.79%,-3.49%,-5.05%,-11.26%,10.31%,-20.56%,28.85%,37.71,2.00,23.64,-1.21%,616301,28.17
"HOMZ","The Hoya Capital Housing ETF","Financial","Exchange Traded Fund",,,2.67%,,,,,,,,,,-3.32%,-0.35%,0.67%,2.98%,32.76%,30.82%,,0.85%,-3.51%,-0.44%,3.98%,-5.44%,6.11%,-5.44%,33.29%,37.20,,41.89,-0.94%,8500,
"HON","Honeywell International Inc.","Industrials","Specialty Industrial Machinery",141038.14,26.01,1.84%,2.20%,-3.30%,690.60,0.10%,-5.34%,75.70%,-1.50%,0.93%,20.60%,-7.29%,-7.49%,-12.79%,-12.35%,-0.82%,-4.92%,1.13,1.54%,-9.00%,-8.63%,-9.96%,-12.63%,-0.84%,-15.81%,2.50%,19.58,2.30,199.42,-1.39%,3116179,242.09
"HONE","HarborOne Bancorp, Inc.","Financial","Banks - Regional",746.87,11.53,1.44%,50.50%,17.30%,49.80,1.40%,-1.89%,58.60%,-6.68%,1.05%,89.50%,-6.46%,-3.34%,-1.70%,-4.99%,41.59%,27.90%,0.80,2.12%,-5.75%,-2.98%,-0.77%,-8.70%,6.81%,-9.94%,43.08%,33.66,1.70,13.95,0.43%,127845,15.83
"HOOD","Robinhood Markets, Inc.","Technology","Software - Infrastructure",23485.30,,,,,638.17,0.40%,-16.15%,68.20%,415.87%,3.54%,-67.90%,-6.82%,-25.82%,-41.47%,,,-25.50%,,5.12%,-26.40%,-36.52%,-41.80%,-49.98%,-7.07%,-71.85%,-7.07%,17.08,2.50,23.93,-7.75%,37300629,45.86
"HOOK","HOOKIPA Pharma Inc.","Healthcare","Biotechnology",99.03,,,,,32.87,9.60%,0.00%,70.50%,0.32%,8.95%,,-7.45%,-33.68%,-53.12%,-80.72%,-72.16%,-70.87%,,5.97%,-25.00%,-37.97%,-67.42%,-54.84%,-2.84%,-84.60%,-2.84%,18.45,1.60,3.08,-4.64%,154866,15.38
"HOPE","Hope Bancorp, Inc.","Financial","Banks - Regional",1737.35,9.80,3.90%,-4.90%,13.80%,122.25,1.40%,-0.22%,86.80%,-2.40%,2.05%,88.80%,-7.60%,-1.64%,4.06%,-5.59%,51.37%,31.53%,1.51,2.32%,-6.27%,-3.81%,-2.08%,-10.11%,7.00%,-14.39%,49.19%,36.78,3.00,14.22,-0.91%,765047,17.20
"HOTH","Hoth Therapeutics, Inc.","Healthcare","Biotechnology",20.25,,,,,23.89,16.48%,0.00%,13.10%,1.82%,1.18%,,0.63%,-23.46%,-39.78%,-46.47%,-52.38%,-65.44%,,6.00%,-16.77%,-24.92%,-45.17%,-38.58%,3.92%,-76.84%,3.92%,24.37,2.00,0.81,-1.01%,237681,6.38
"HOV","Hovnanian Enterprises, Inc.","Consumer Cyclical","Residential Construction",613.17,1.03,,37.00%,1.80%,6.32,8.40%,-1.82%,51.20%,-0.84%,12.51%,10.40%,4.98%,13.35%,-12.14%,-30.19%,139.19%,190.66%,2.49,4.96%,10.27%,9.90%,-1.25%,-4.43%,23.25%,-32.09%,229.40%,64.41,3.00,99.38,4.05%,116397,
"HOVNP","Hovnanian Enterprises, Inc. PFD DEP1/1000A","Consumer Cyclical","Residential Construction",,,,,,,,,,,,,1.13%,-4.72%,-11.99%,-22.09%,131.59%,96.47%,,2.58%,0.13%,-1.82%,-4.16%,-9.92%,11.46%,-22.43%,136.14%,49.24,,16.53,2.35%,100,
"HOWL","Werewolf Therapeutics, Inc.","Healthcare","Biotechnology",408.33,,,,,27.19,12.92%,9.74%,78.80%,-3.25%,2.74%,,-8.00%,-7.53%,-18.60%,6.23%,,-10.00%,,5.71%,-12.76%,-15.75%,-13.32%,-24.81%,-0.44%,-42.89%,21.99%,25.94,1.50,13.70,-5.45%,115828,26.20
"HP","Helmerich & Payne, Inc.","Energy","Oil & Gas Drilling",2567.61,,4.45%,-44.00%,-5.60%,107.90,0.70%,-1.72%,91.50%,-2.28%,6.83%,-35.20%,-9.55%,-27.67%,-16.60%,-30.60%,-1.41%,-3.07%,2.16,4.74%,-28.57%,-29.92%,-27.33%,-39.95%,-2.47%,-41.31%,-2.47%,20.42,2.50,21.28,-5.21%,1977906,31.53
"HPE","Hewlett Packard Enterprise Company","Technology","Communication Equipment",19057.52,18.44,3.34%,-16.80%,-2.80%,1314.00,0.10%,-19.87%,84.60%,0.09%,1.88%,3.40%,-2.84%,-2.05%,-7.18%,-10.70%,29.98%,21.10%,1.22,2.25%,-5.01%,-3.74%,-5.67%,-10.91%,9.39%,-15.11%,29.18%,39.35,2.50,14.21,-0.98%,22051341,17.61
"HPF","John Hancock Preferred Income Fund II","Financial","Closed-End Fund - Debt",452.68,,6.99%,,,21.37,0.06%,0.00%,8.34%,,,,-1.85%,-3.29%,-6.86%,0.62%,15.49%,11.42%,,0.89%,-3.73%,-3.96%,-1.73%,-5.68%,0.34%,-8.81%,14.76%,30.73,,20.91,-1.27%,51674,
"HPI","John Hancock Preferred Income Fund","Financial","Closed-End Fund - Debt",541.39,,7.17%,,,26.22,0.06%,0.00%,11.19%,,,,-2.23%,-5.74%,-5.92%,-2.36%,7.22%,4.93%,,0.84%,-4.88%,-5.31%,-3.19%,-7.77%,-0.97%,-7.77%,11.47%,20.85,,20.41,-1.16%,69973,
"HPK","HighPeak Energy, Inc.","Energy","Oil & Gas E&P",1338.75,93.72,0.74%,,,92.68,2.70%,1.74%,7.60%,286.36%,1.38%,31.70%,0.15%,-3.82%,40.54%,34.80%,154.78%,-14.33%,0.98,5.52%,-5.13%,8.69%,31.40%,-14.92%,58.02%,-38.17%,185.21%,48.96,2.00,13.40,-1.40%,19668,22.70
"HPP","Hudson Pacific Properties, Inc.","Real Estate","REIT - Office",3780.49,,4.11%,15.00%,9.10%,152.32,0.30%,-0.46%,95.60%,-2.15%,4.40%,13.90%,-9.31%,-5.48%,-7.73%,-18.97%,-6.38%,1.33%,0.89,2.34%,-11.24%,-12.28%,-14.06%,-16.16%,-2.37%,-22.73%,3.08%,24.96,2.30,23.45,-3.66%,1389314,30.71
"HPQ","HP Inc.","Technology","Computer Hardware",40609.04,10.93,2.21%,-0.20%,1.90%,1185.00,0.15%,-12.60%,81.30%,-3.56%,1.57%,8.10%,10.49%,16.32%,18.63%,18.47%,60.88%,43.47%,1.04,2.54%,12.94%,21.36%,20.57%,0.69%,39.64%,0.69%,65.13%,73.79,2.60,36.46,3.34%,24373959,33.05
"HPS","John Hancock Preferred Income Fund III","Financial","Closed-End Fund - Debt",596.86,,7.01%,,,31.70,0.05%,0.00%,10.87%,,,,-0.79%,-4.22%,-3.39%,-1.36%,10.38%,8.91%,,0.91%,-3.80%,-3.29%,-0.99%,-6.59%,1.59%,-6.59%,13.71%,27.18,,18.58,-1.33%,57788,
"HQH","Tekla Healthcare Investors","Financial","Closed-End Fund - Equity",1080.63,4.40,8.31%,,,44.65,,,20.08%,,,,-3.20%,-7.35%,-9.53%,-0.86%,11.14%,1.55%,,1.43%,-5.09%,-6.61%,-5.71%,-10.16%,1.44%,-14.90%,9.26%,30.98,,23.87,-1.36%,122867,
"HQI","HireQuest, Inc.","Industrials","Staffing & Employment Services",320.11,38.06,1.05%,6.80%,-31.00%,13.60,21.10%,0.03%,9.50%,4.06%,1.80%,,0.04%,26.67%,22.91%,28.81%,142.55%,123.20%,0.88,6.71%,-2.29%,3.71%,9.97%,-19.06%,23.53%,-19.06%,139.30%,48.14,,20.79,-8.82%,37283,
"HQL","Tekla Life Sciences Investors","Financial","Closed-End Fund - Equity",481.70,3.87,8.42%,,,24.28,,,18.41%,,,,-2.94%,-6.72%,-9.20%,0.05%,6.20%,0.46%,,1.41%,-5.09%,-5.70%,-5.74%,-10.15%,-0.41%,-13.96%,4.82%,28.33,,19.53,-1.56%,56451,
"HQY","HealthEquity, Inc.","Healthcare","Health Information Services",4680.06,4206.15,,-16.20%,42.10%,83.48,0.40%,-15.04%,98.60%,-3.94%,3.78%,0.60%,-10.01%,-17.38%,-14.79%,-35.37%,-23.73%,-21.56%,1.22,3.98%,-16.12%,-16.47%,-24.04%,-25.71%,-0.02%,-41.65%,-0.02%,25.25,1.80,54.45,-0.42%,753234,83.50
"HR","Healthcare Realty Trust Incorporated","Real Estate","REIT - Healthcare Facilities",4633.79,166.60,3.86%,-2.30%,5.20%,143.82,0.20%,-0.97%,,2.83%,,8.00%,-3.54%,-5.26%,4.30%,1.33%,6.17%,5.81%,0.60,1.95%,-5.43%,-4.37%,-1.48%,-9.38%,4.29%,-9.38%,9.29%,33.00,2.50,30.60,-2.30%,979073,34.80
"HRB","H&R Block, Inc.","Consumer Cyclical","Personal Services",4176.68,13.71,4.56%,-24.20%,-31.30%,178.10,0.80%,-10.49%,88.20%,-2.05%,10.79%,14.70%,-6.18%,2.64%,-7.68%,-3.70%,25.96%,49.31%,0.81,2.60%,-5.84%,-6.37%,-2.52%,-10.42%,2.50%,-12.76%,55.13%,35.90,2.60,23.13,-2.32%,1902540,26.17
"HRC","Hill-Rom Holdings, Inc.","Healthcare","Medical Instruments & Supplies",10267.67,41.83,0.62%,14.80%,2.60%,65.76,0.20%,-22.15%,84.10%,-4.58%,1.42%,12.70%,-0.03%,0.39%,6.81%,40.84%,63.93%,58.72%,0.55,0.17%,0.20%,1.62%,22.17%,-0.36%,4.33%,-0.36%,66.77%,67.20,2.60,155.66,0.10%,606584,156.00
"HRI","Herc Holdings Inc.","Industrials","Rental & Leasing Services",5069.18,27.47,1.17%,-8.60%,1.20%,29.60,0.70%,-69.57%,98.57%,0.57%,2.16%,16.40%,-10.21%,-6.37%,29.67%,53.56%,197.57%,156.66%,2.78,3.35%,-14.00%,-8.94%,28.54%,-19.90%,27.15%,-19.90%,176.69%,31.27,1.90,162.72,-4.54%,312680,214.17
"HRL","Hormel Foods Corporation","Consumer Defensive","Packaged Foods",22456.60,26.32,2.37%,5.50%,0.70%,541.75,0.20%,-11.22%,42.20%,0.22%,7.97%,10.10%,-3.77%,-2.17%,-9.09%,-15.85%,-12.25%,-11.18%,0.02,1.55%,-2.28%,-0.49%,-8.06%,-3.77%,3.90%,-17.30%,3.90%,43.07,3.20,42.06,1.59%,3611768,45.75
"HRMY","Harmony Biosciences Holdings, Inc.","Healthcare","Biotechnology",2013.36,173.93,,,,57.72,18.85%,-1.67%,79.30%,6.40%,5.66%,15.00%,-7.77%,-17.80%,0.59%,5.77%,-21.18%,-5.70%,,4.66%,-11.37%,-9.84%,7.09%,-19.91%,5.30%,-26.70%,41.69%,36.76,1.70,35.55,4.28%,427738,56.75
"HROW","Harrow Health, Inc.","Healthcare","Drug Manufacturers - Specialty & Generic",268.50,,,40.00%,38.10%,27.11,0.40%,182.20%,55.10%,6.91%,2.51%,10.50%,-7.24%,-0.89%,-5.66%,7.87%,73.91%,45.77%,0.91,7.13%,-8.91%,-2.21%,11.49%,-23.25%,13.42%,-23.25%,94.35%,39.16,1.50,9.97,-0.30%,71135,16.12
"HRTG","Heritage Insurance Holdings, Inc.","Financial","Insurance - Property & Casualty",183.15,,3.60%,-35.80%,8.50%,27.94,4.20%,2.11%,70.40%,-4.57%,2.22%,-4.90%,-0.75%,1.83%,-4.86%,-20.62%,-35.59%,-34.25%,0.58,4.09%,-0.47%,-1.28%,-19.09%,-8.55%,6.48%,-44.75%,23.22%,48.76,2.00,6.74,1.20%,249776,11.75
"HRTX","Heron Therapeutics, Inc.","Healthcare","Biotechnology",1001.13,,,3.20%,,101.91,0.20%,-0.52%,,4.09%,30.25%,,-2.68%,-14.17%,-19.02%,-31.67%,-45.47%,-55.35%,1.33,5.69%,-16.42%,-16.70%,-34.07%,-29.56%,0.55%,-59.46%,0.55%,32.49,1.80,9.08,-3.92%,1800877,31.50
"HRZN","Horizon Technology Finance Corporation","Financial","Asset Management",331.85,23.48,7.11%,-0.26%,,19.66,1.67%,0.00%,10.21%,,,,-0.53%,-3.00%,-0.38%,1.29%,35.73%,27.84%,,2.14%,-4.39%,-2.55%,1.23%,-12.60%,3.25%,-12.60%,36.35%,36.45,3.20,16.63,-1.48%,131094,15.60
"HSAQ","Health Sciences Acquisitions Corporation 2","Financial","Shell Companies",202.04,,,,,20.45,21.91%,0.00%,61.60%,0.25%,0.47%,,0.10%,0.00%,0.87%,-2.66%,-10.27%,-22.95%,,0.24%,-0.03%,0.14%,-5.79%,-0.60%,1.13%,-32.74%,1.86%,50.38,,9.86,-0.10%,8794,
"HSBC","HSBC Holdings plc","Financial","Banks - Diversified",114780.66,9.95,3.97%,-21.50%,-2.40%,4085.21,0.30%,0.00%,1.20%,-6.56%,0.26%,76.00%,-4.88%,-7.95%,4.69%,-13.66%,6.91%,6.83%,0.67,1.09%,-4.43%,-2.70%,-4.20%,-9.83%,14.16%,-14.12%,14.56%,36.75,2.00,27.85,0.61%,2596935,35.26
"HSC","Harsco Corporation","Industrials","Specialty Industrial Machinery",1170.04,60.75,,-45.90%,1.60%,79.29,1.72%,0.51%,95.49%,2.57%,4.84%,4.50%,1.39%,-14.74%,-20.07%,-36.22%,-13.98%,-18.91%,1.91,5.40%,-1.35%,-9.69%,-21.48%,-20.30%,9.63%,-38.60%,9.63%,41.00,1.70,14.57,-0.07%,521447,24.00
"HSCZ","iShares Currency Hedged MSCI EAFE Small-Cap ETF","Financial","Exchange Traded Fund",,,1.35%,,,,,,,,,,-4.12%,-3.90%,-4.33%,-0.80%,17.28%,12.45%,,0.45%,-4.57%,-3.84%,-1.14%,-5.91%,0.08%,-6.29%,15.15%,25.71,,36.03,-0.47%,9168,
"HSDT","Helius Medical Technologies, Inc.","Healthcare","Medical Devices",24.20,,,15.50%,,2.32,0.90%,211.48%,15.30%,-9.15%,2.21%,,-4.51%,-52.15%,-51.57%,-50.40%,-51.40%,-48.56%,0.87,5.81%,-37.04%,-52.23%,-60.07%,-61.53%,-13.63%,-82.97%,-13.63%,14.96,,5.79,-14.60%,35377,31.50
"HSIC","Henry Schein, Inc.","Healthcare","Medical Distribution",9961.90,16.17,,-0.30%,-1.00%,139.38,0.10%,0.00%,98.40%,0.57%,3.02%,6.80%,-6.76%,-6.93%,-5.99%,-5.78%,10.50%,6.28%,0.81,2.18%,-8.84%,-9.17%,-5.97%,-13.36%,-0.24%,-15.71%,15.88%,26.16,2.60,70.34,-1.01%,1045116,85.91
"HSII","Heidrick & Struggles International, Inc.","Industrials","Staffing & Employment Services",851.31,13.23,1.39%,-32.80%,2.80%,19.57,1.20%,-16.42%,94.40%,1.88%,1.31%,10.20%,-4.79%,-7.91%,-0.12%,-1.26%,65.40%,46.94%,0.79,3.32%,-8.70%,-8.04%,0.76%,-15.35%,4.21%,-15.35%,61.27%,33.33,1.70,42.35,-1.90%,166880,55.00
"HSKA","Heska Corporation","Healthcare","Diagnostics & Research",1749.64,741.75,,-33.50%,13.50%,10.20,1.60%,-5.95%,98.10%,0.11%,2.52%,-0.60%,-7.86%,-27.99%,-39.33%,-16.80%,28.77%,10.51%,1.48,4.25%,-14.28%,-29.49%,-28.00%,-42.01%,-2.18%,-43.47%,28.40%,20.48,2.20,156.00,-3.08%,44108,245.75
"HSON","Hudson Global, Inc.","Industrials","Staffing & Employment Services",74.59,36.14,,-23.80%,-26.20%,2.93,7.80%,29.24%,59.30%,3.37%,0.50%,2.00%,-4.41%,72.46%,73.08%,52.06%,184.58%,174.29%,0.58,6.24%,13.24%,46.58%,62.82%,-5.26%,89.91%,-5.26%,193.89%,70.52,,29.36,1.94%,9218,44.00
"HSRT","Hartford Short Duration ETF","Financial","Exchange Traded Fund",,,2.39%,,,,,,,,,,-0.16%,-0.25%,-0.84%,-1.17%,-1.22%,-1.36%,,0.26%,-0.58%,-0.82%,-1.26%,-1.44%,0.15%,-2.36%,0.15%,26.05,,40.50,-0.36%,5666,
"HST","Host Hotels & Resorts, Inc.","Real Estate","REIT - Hotel & Motel",11381.40,,,-27.70%,-21.30%,713.90,1.19%,0.00%,99.24%,1.96%,8.31%,-28.20%,-8.08%,-6.71%,-5.19%,-11.30%,11.90%,7.31%,1.33,2.91%,-12.12%,-9.66%,-8.97%,-19.24%,-1.38%,-19.24%,16.72%,26.26,2.70,15.36,-2.17%,16250587,19.19
"HSTM","HealthStream, Inc.","Healthcare","Health Information Services",732.82,102.74,,9.20%,3.20%,31.56,1.50%,0.64%,75.00%,-1.08%,0.85%,3.80%,-8.55%,-12.74%,-23.59%,-11.10%,24.30%,6.32%,0.34,3.46%,-10.01%,-14.07%,-11.50%,-21.06%,1.91%,-24.49%,25.08%,28.16,2.50,23.49,1.16%,112532,32.50
"HSTO","Histogen Inc.","Healthcare","Biotechnology",20.08,,,30.60%,,41.73,7.03%,0.00%,6.80%,3.61%,0.97%,,-4.19%,-31.55%,-39.26%,-52.94%,-69.81%,-36.68%,0.86,7.89%,-25.89%,-34.47%,-52.31%,-45.97%,-4.85%,-77.41%,-4.85%,19.95,1.50,0.45,-6.83%,990035,2.70
"HSY","The Hershey Company","Consumer Defensive","Confectioners",36722.68,25.78,2.03%,21.30%,2.00%,145.66,0.30%,-9.44%,78.10%,0.73%,1.24%,21.10%,-2.02%,1.22%,-0.12%,2.28%,20.01%,16.52%,0.41,1.49%,-1.46%,-0.92%,2.87%,-4.47%,4.59%,-4.47%,22.24%,42.48,2.50,175.51,-1.12%,1055688,190.89
"HT","Hersha Hospitality Trust","Real Estate","REIT - Hotel & Motel",349.49,,,-61.10%,-17.80%,39.14,1.60%,-1.56%,65.50%,0.90%,3.03%,-27.10%,-13.26%,-1.12%,-5.86%,-23.55%,9.01%,11.91%,2.63,5.46%,-20.28%,-13.54%,-18.82%,-29.44%,5.30%,-36.09%,12.10%,30.15,3.20,8.34,-5.55%,469704,11.05
"HTA","Healthcare Trust of America, Inc.","Real Estate","REIT - Healthcare Facilities",7519.42,68.74,3.77%,-1.60%,12.80%,218.82,0.10%,0.00%,,3.67%,5.32%,21.40%,-1.11%,1.71%,11.97%,20.77%,30.46%,23.31%,0.65,1.45%,-2.63%,1.28%,12.34%,-4.55%,13.42%,-4.55%,31.05%,41.76,2.40,33.17,-2.33%,1944782,33.73
"HTAB","Hartford Schroders Tax-Aware Bond ETF","Financial","Exchange Traded Fund",,,1.49%,,,,,,,,,,0.23%,0.23%,-0.97%,-0.90%,-0.62%,-1.08%,,0.21%,-0.32%,-0.52%,-0.96%,-1.49%,0.26%,-5.99%,3.80%,44.97,,21.48,-0.25%,2856,
"HTBI","HomeTrust Bancshares, Inc.","Financial","Banks - Regional",490.69,24.41,1.07%,8.00%,6.20%,15.76,2.50%,-20.41%,60.30%,-1.81%,0.72%,,-5.15%,-1.22%,7.94%,4.82%,76.34%,55.52%,0.63,2.29%,-4.33%,-0.41%,7.95%,-7.93%,13.65%,-7.93%,72.59%,40.57,2.60,29.72,-1.03%,55674,33.95
"HTBK","Heritage Commerce Corp","Financial","Banks - Regional",669.55,14.63,4.74%,4.10%,13.80%,60.22,2.00%,-3.87%,71.10%,-0.82%,1.00%,96.80%,-6.80%,-8.59%,-2.75%,-7.59%,30.17%,23.56%,1.15,2.41%,-8.44%,-7.63%,-5.08%,-13.73%,0.69%,-14.07%,28.64%,27.05,2.00,10.87,-0.82%,196376,13.62
"HTBX","Heat Biologics, Inc.","Healthcare","Biotechnology",113.82,,,60.90%,,25.14,4.09%,0.00%,12.90%,5.65%,6.27%,,4.91%,-15.92%,-37.90%,-30.50%,-42.73%,-16.23%,0.23,5.39%,-13.67%,-22.22%,-36.07%,-33.96%,0.00%,-75.18%,0.00%,29.09,2.00,4.22,-6.01%,257498,20.67
"HTD","John Hancock Tax-Advantaged Dividend Income Fund","Financial","Closed-End Fund - Debt",852.81,,6.89%,,,35.40,0.04%,0.00%,14.55%,,,,-1.23%,-1.79%,-1.63%,-3.49%,14.66%,14.50%,,0.99%,-1.88%,0.08%,-0.05%,-2.90%,5.34%,-7.31%,17.01%,40.67,,24.08,-0.04%,74329,
"HTEC","Robo Global Healthcare Technology and Innovation ETF","Financial","Exchange Traded Fund",,,,,,,,,,,,,-3.05%,-8.21%,-12.22%,-3.48%,7.79%,-2.00%,,1.52%,-7.94%,-8.49%,-8.88%,-14.13%,-1.65%,-19.76%,6.12%,25.54,,42.00,-1.97%,85908,
"HTGC","Hercules Capital, Inc.","Financial","Mortgage Finance",1902.81,5.88,8.03%,5.37%,,115.74,1.26%,-5.20%,28.65%,,1.68%,,-1.14%,-6.60%,-2.34%,-3.65%,25.11%,15.74%,,1.38%,-4.60%,-4.37%,-2.68%,-9.87%,0.52%,-9.87%,24.16%,25.61,1.50,16.34,-0.61%,885518,18.58
"HTGM","HTG Molecular Diagnostics, Inc.","Healthcare","Diagnostics & Research",31.13,,,43.10%,16.20%,7.44,0.30%,0.00%,38.90%,6.74%,1.80%,,-5.06%,-32.99%,-42.06%,6.20%,-27.44%,-17.75%,1.46,6.60%,-22.42%,-31.39%,-31.48%,-41.86%,0.82%,-53.71%,5.14%,19.89,2.00,3.68,-6.60%,31576,9.67
"HTH","Hilltop Holdings Inc.","Financial","Banks - Regional",2704.02,6.65,1.41%,17.00%,3.10%,80.11,1.90%,-2.14%,65.80%,-6.92%,3.17%,86.10%,-7.45%,-3.98%,1.67%,-8.62%,41.26%,23.70%,1.09,2.33%,-8.21%,-3.21%,-2.43%,-11.96%,7.93%,-14.47%,38.81%,34.79,2.80,33.87,-0.47%,362279,36.50
"HTHT","Huazhu Group Limited","Consumer Cyclical","Lodging",12555.90,130.00,,-30.30%,12.00%,311.41,56.40%,0.00%,50.30%,6.12%,8.53%,-2.30%,-16.25%,-14.75%,-18.16%,-33.55%,-20.61%,-12.24%,1.49,4.27%,-10.72%,-12.97%,-20.73%,-20.08%,5.04%,-36.65%,5.04%,34.95,1.80,40.88,3.44%,1806833,61.07
"HTLD","Heartland Express, Inc.","Industrials","Trucking",1310.24,17.49,0.48%,0.70%,-2.60%,79.34,0.10%,4.54%,55.60%,-4.77%,2.90%,16.70%,-4.99%,2.51%,-0.24%,-2.74%,-6.74%,-4.78%,0.51,2.10%,-2.89%,-0.32%,-3.74%,-6.99%,4.66%,-15.41%,5.86%,41.39,2.80,16.63,-0.66%,259466,18.71
"HTLF","Heartland Financial USA, Inc.","Financial","Banks - Regional",2015.42,9.78,1.85%,4.80%,15.10%,42.30,1.30%,0.00%,61.50%,0.74%,0.83%,94.10%,-7.14%,-5.23%,1.00%,-5.30%,21.86%,17.66%,1.26,2.31%,-6.85%,-5.18%,-2.55%,-11.78%,5.54%,-11.83%,29.77%,34.62,2.40,47.64,0.29%,278667,61.00
"HTOO","Fusion Fuel Green PLC","Utilities","Utilities - Renewable",145.43,,,,,12.05,8.77%,0.00%,52.40%,4.93%,6.07%,,-1.40%,-9.74%,-5.75%,-17.46%,,-38.69%,,7.03%,-8.07%,-6.09%,-14.25%,-20.03%,9.39%,-76.95%,17.93%,41.81,1.50,11.18,-1.06%,28633,27.50
"HTOOW","Fusion Fuel Green PLC","Utilities","Utilities - Renewable",,,,,,,,,,,,,-10.00%,-9.55%,0.00%,-23.57%,,-45.86%,,5.46%,-9.78%,-5.23%,-15.05%,-21.74%,23.39%,-73.16%,63.78%,43.04,,3.70,2.83%,3459,
"HTPA","Highland Transcend Partners I Corp.","Financial","Shell Companies",298.20,,,,,30.00,,,75.82%,,0.75%,,-0.10%,0.10%,2.58%,2.37%,,-4.61%,,0.37%,-0.15%,0.01%,0.43%,-3.12%,0.61%,-9.48%,3.33%,47.87,,9.93,-0.10%,10261,
"HTRB","Hartford Total Return Bond ETF","Financial","Exchange Traded Fund",,,2.46%,,,,,,,,,,0.59%,-0.07%,-1.36%,-0.10%,-2.82%,-2.71%,,0.41%,-0.01%,-0.22%,-0.46%,-1.77%,0.93%,-3.15%,1.70%,50.17,,40.60,-0.02%,30273,
"HTY","John Hancock Tax-Advantaged Global Shareholder Yield Fund","Financial","Closed-End Fund - Equity",71.16,,9.82%,,,10.91,0.24%,0.00%,38.58%,,,,-0.76%,2.35%,-2.54%,-3.12%,18.55%,17.90%,,1.33%,-0.20%,0.33%,0.22%,-4.53%,3.15%,-7.10%,20.22%,49.16,,6.54,0.31%,40486,
"HTZ","Hertz Global Holdings, Inc Common Stock","Industrials","Rental & Leasing Services",11765.68,,,-65.50%,-10.20%,471.00,0.20%,,43.50%,4.48%,2.88%,14.50%,7.33%,-22.11%,43.81%,,,-10.49%,,11.62%,-12.18%,-7.12%,10.52%,-49.70%,46.46%,-49.70%,63.53%,44.81,3.20,23.14,-4.22%,7300755,20.00
"HUBB","Hubbell Incorporated","Industrials","Electrical Equipment & Parts",10622.60,29.61,2.00%,6.10%,4.30%,54.30,0.43%,-0.45%,88.00%,0.55%,0.97%,11.50%,-6.14%,-1.84%,-5.05%,2.78%,21.11%,24.82%,1.23,1.38%,-5.02%,0.81%,2.42%,-7.76%,10.10%,-7.76%,31.52%,35.84,2.40,196.05,0.18%,231149,211.29
"HUBG","Hub Group, Inc.","Industrials","Integrated Freight & Logistics",2682.72,23.97,,2.10%,-0.20%,33.43,0.50%,0.00%,98.50%,2.93%,1.28%,3.90%,-8.71%,-1.15%,10.64%,12.93%,42.20%,36.26%,0.97,2.83%,-8.14%,-0.73%,10.68%,-12.06%,13.74%,-12.06%,46.13%,37.18,2.10,76.50,-1.51%,215607,87.93
