no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_russell_3k
3653,HPK,"HighPeak Energy, Inc.",Energy,Oil & Gas E&P,USA,1850.23,134.28,5.9,,13.91,3.68,154.19,,0.51%,34.10%,0.14,-387.10%,392.54%,,,,168.70%,533.30%,92.68,7.95,2.60%,2.08%,7.90%,3.08%,2.16%,2.83,2.30%,2.80%,-21.40%,0.6,0.5,0.19,0.0,88.30%,31.70%,10.20%,11.26%,4.28%,39.57%,118.76%,52.07%,32.99%,0.85,1.03,7.86%,5.54%,7.26%,16.92%,59.03%,-5.52%,48.51%,-5.52%,226.69%,61.99,-2.65%,-1.23%,2.0,60.58,0.91,19.47,-3.85%,54926,11/8/2021 4:30:00 PM,24.2,5/29/2018,19.47,0.00%,69.0,93,1.3,19.47,18.21,16.77,12.31,6.0,20.61,29.0,24.29,63.666666666666664,True
3691,HTBK,Heritage Commerce Corp,Financial,Banks - Regional,USA,752.23,15.84,12.05,2.26,4.91,1.27,0.45,36.52,4.18%,72.60%,0.79,-30.50%,18.33%,4.10%,7.00%,13.80%,21.30%,9.90%,60.22,57.9,0.70%,-9.41%,71.80%,0.13%,0.96%,3.3,0.80%,7.30%,20.10%,,,0.07,0.07,,91.50%,28.00%,-0.48%,-1.89%,3.06%,11.06%,33.58%,4.27%,1.11,0.32,2.19%,2.92%,0.92%,4.14%,7.03%,-3.79%,17.12%,-3.79%,38.33%,55.88,1.55%,0.66%,1.7,168.24,0.94,12.45,2.22%,158398,,14.25,7/24/1998,12.45,0.00%,78.0,87,1.17,12.45,12.32,11.98,11.63,9.0,12.94,12.0,14.46,59.0,True
3717,HUN,Huntsman Corporation,Basic Materials,Chemicals,USA,8647.27,11.06,10.43,0.97,1.11,2.31,17.12,,1.89%,19.50%,3.58,-31.30%,9.13%,-6.20%,11.39%,-5.90%,342.80%,51.30%,219.4,196.7,3.40%,0.00%,83.60%,-2.89%,1.30%,1.39,9.30%,21.80%,6.90%,1.9,1.2,0.42,0.42,21.30%,12.10%,10.10%,8.30%,3.63%,19.03%,58.60%,38.73%,13.68%,1.22,1.15,3.15%,2.97%,9.42%,13.54%,31.07%,2.96%,27.25%,2.96%,64.56%,71.91,4.12%,3.85%,2.0,1846.39,2.76,39.65,8.13%,5096610,2/15/2022 8:30:00 AM,42.1,2/11/2005,39.8,0.38%,69.0,89,1.22,39.65,36.32,35.08,30.3,24.1,38.51,16.0,6.18,58.0,True
3727,HWC,Hancock Whitney Corporation,Financial,Banks - Regional,USA,4966.15,13.07,10.4,1.63,4.9,1.34,1.38,9.3,1.92%,25.10%,4.3,-114.60%,2.56%,-18.40%,8.00%,9.30%,62.10%,-4.90%,86.83,86.04,0.60%,-0.99%,79.20%,0.30%,1.86%,3.73,1.10%,10.60%,26.10%,,,0.07,0.07,,95.20%,36.80%,-0.83%,2.27%,5.70%,24.17%,49.73%,12.38%,1.51,1.88,3.30%,3.77%,3.78%,8.29%,16.36%,-6.03%,24.74%,-6.03%,54.47%,61.76,2.20%,1.31%,1.9,428.79,1.26,56.21,3.54%,538965,1/18/2022 4:30:00 PM,63.94,6/4/1991,56.25,0.07%,72.0,93,1.3,56.21,54.25,52.07,48.35,36.39,59.82,13.0,13.75,59.333333333333336,True
3728,HWKN,"Hawkins, Inc.",Basic Materials,Specialty Chemicals,USA,864.64,17.49,,,1.21,2.96,36.95,39.48,1.26%,21.20%,2.37,44.80%,,35.00%,,7.60%,29.90%,30.90%,20.89,19.12,9.46%,0.00%,63.20%,1.27%,0.73%,2.7,10.30%,17.90%,11.30%,2.8,1.8,0.36,0.4,19.90%,9.60%,7.00%,-0.22%,5.13%,13.48%,12.22%,35.50%,4.97%,0.92,1.47,3.41%,3.86%,7.38%,7.73%,16.11%,-1.26%,25.14%,-1.26%,41.23%,61.19,2.25%,0.57%,2.0,51.96,1.17,41.41,2.83%,60584,2/2/2022 4:30:00 PM,52.0,3/18/1980,41.41,0.00%,69.0,87,1.18,41.41,38.74,38.6,35.7,29.32,41.94,20.0,25.57,58.666666666666664,True
3913,IGT,International Game Technology PLC,Consumer Cyclical,Gambling,United Kingdom,6196.3,,19.55,,1.72,4.62,14.24,9.67,2.69%,0.00%,-1.17,-627.50%,14.04%,-63.50%,30.18%,-7.90%,142.10%,20.60%,205.19,99.37,51.65%,0.00%,48.30%,1.29%,3.86%,2.22,1.80%,21.30%,-1.90%,1.3,1.2,4.97,0.0,49.50%,21.50%,6.10%,3.13%,6.19%,0.17%,59.03%,71.92%,2.70%,2.14,1.26,3.92%,4.94%,8.37%,8.93%,19.52%,-3.73%,29.37%,-9.89%,96.49%,60.07,1.64%,1.74%,2.1,1728.47,0.67,29.69,3.41%,1151357,11/9/2021 8:30:00 AM,40.21,4/7/2015,29.69,0.00%,66.0,96,1.52,29.69,27.48,27.37,24.9,15.11,32.95,23.0,35.43,61.666666666666664,True
3995,INBK,First Internet Bancorp,Financial,Banks - Regional,USA,496.72,10.47,8.41,,3.71,1.35,1.15,13.18,0.48%,5.50%,4.82,19.10%,30.73%,8.80%,,27.00%,40.60%,0.60%,9.94,9.3,6.60%,1.37%,70.40%,-1.16%,0.82%,1.57,1.00%,12.30%,10.50%,,,0.28,0.28,,52.70%,32.20%,-0.30%,-3.11%,11.51%,69.06%,58.69%,7.31%,0.73,1.61,2.00%,3.67%,0.84%,5.10%,35.71%,-5.75%,20.08%,-5.75%,79.96%,55.58,0.76%,0.91%,1.8,48.8,0.44,50.48,1.67%,21628,1/19/2022 4:30:00 PM,65.2,12/28/2004,50.48,0.00%,75.0,95,1.38,50.48,49.95,48.16,37.27,28.05,53.56,20.0,29.16,63.333333333333336,True
4113,ISBC,"Investors Bancorp, Inc.",Financial,Banks - Regional,USA,4330.92,13.12,12.07,1.26,4.71,1.44,5.11,12.36,3.22%,42.10%,1.32,26.20%,9.34%,11.50%,10.38%,6.00%,4.30%,-3.90%,235.6,226.52,0.20%,-58.44%,73.90%,-2.26%,5.99%,5.89,1.10%,10.50%,10.10%,,,1.24,1.24,,81.20%,31.70%,-0.63%,-0.40%,8.56%,25.04%,36.21%,14.72%,0.98,0.47,2.37%,2.92%,3.78%,8.57%,15.89%,-1.64%,24.41%,-1.64%,39.43%,62.18,1.34%,1.30%,2.2,2301.87,0.89,17.38,2.66%,2038280,1/26/2022 4:30:00 PM,17.6,10/12/2005,17.38,0.00%,63.0,88,1.19,17.38,16.76,16.06,15.01,12.47,17.67,28.0,1.27,59.666666666666664,True
4140,ITCI,"Intra-Cellular Therapies, Inc.",Healthcare,Biotechnology,USA,5040.0,,,,71.39,9.36,10.56,,,,-3.2,-20.50%,8.10%,-2.10%,,201.60%,-19.10%,200.00%,81.36,74.44,1.40%,-29.63%,81.00%,0.32%,6.36%,4.13,-40.30%,-44.90%,-35.20%,10.7,10.5,0.0,0.0,90.60%,,,9.55%,30.02%,39.13%,84.39%,43.66%,6.99%,1.22,2.75,4.92%,6.22%,18.92%,24.91%,40.94%,1.46%,62.65%,1.46%,97.18%,70.37,5.07%,0.57%,1.6,1145.34,1.09,56.0,5.66%,1252360,11/9/2021 8:30:00 AM,61.33,12/27/2013,56.0,0.00%,81.0,91,1.26,56.0,47.88,45.23,39.84,28.4,55.19,5.0,9.52,59.0,True
4461,KOS,Kosmos Energy Ltd.,Energy,Oil & Gas E&P,USA,1683.11,,4.4,,1.63,6.0,15.12,5.3,,,-0.41,-630.90%,1079.01%,-41.00%,,12.50%,24.10%,-11.50%,451.89,444.33,1.50%,0.00%,77.90%,0.42%,5.47%,2.47,-4.20%,-48.50%,-15.00%,0.9,0.6,8.26,8.36,69.50%,9.40%,-16.30%,-4.98%,-8.30%,13.51%,107.92%,43.84%,21.39%,3.25,0.34,6.89%,8.20%,-6.98%,2.42%,28.19%,-17.49%,39.07%,-17.49%,133.33%,45.91,-3.89%,-5.62%,2.0,9826.7,2.0,4.2,-9.29%,19609291,2/28/2022 8:30:00 AM,6.17,5/11/2011,4.2,0.00%,69.0,92,1.27,4.2,4.49,4.11,3.28,1.8,5.09,33.0,46.9,64.66666666666667,True
4683,LNC,Lincoln National Corporation,Financial,Insurance - Life,USA,13406.42,9.85,6.99,0.28,0.7,0.64,5.13,,2.47%,22.30%,7.39,-44.70%,22.30%,-12.10%,35.73%,5.00%,-17.50%,-2.20%,187.28,164.63,0.60%,-25.20%,80.00%,-0.88%,2.23%,2.4,0.40%,6.60%,3.00%,,,0.3,0.31,,10.00%,7.30%,-0.18%,-2.09%,-2.45%,7.81%,33.47%,6.61%,2.0,2.78,3.68%,4.18%,3.09%,4.69%,6.61%,-4.75%,17.91%,-6.19%,37.33%,54.55,1.00%,1.56%,2.5,1530.12,1.53,72.77,2.58%,2342783,2/2/2022 4:30:00 PM,81.85,8/20/1969,72.77,0.00%,53.0,87,1.18,72.77,70.59,69.66,68.3,52.99,77.57,18.0,12.48,52.666666666666664,True
4687,LNG,"Cheniere Energy, Inc.",Energy,Oil & Gas Midstream,USA,27848.9,,12.34,,2.3,,12.64,19.98,1.16%,,-4.82,-113.40%,3179.30%,39.90%,24.02%,103.10%,-132.80%,119.20%,253.6,250.77,0.10%,-1.01%,93.70%,0.96%,0.92%,1.42,-3.30%,356.80%,7.70%,0.9,0.8,,,8.20%,-7.90%,-10.00%,-0.69%,0.88%,10.24%,32.44%,64.51%,12.39%,1.34,4.21,3.80%,3.90%,1.19%,5.47%,18.76%,-6.03%,16.49%,-6.03%,74.75%,52.83,-0.02%,-2.46%,1.6,1637.15,1.29,113.99,-2.48%,2120018,2/24/2022 8:30:00 AM,127.05,4/4/1994,114.95,0.84%,81.0,96,1.46,113.99,112.73,108.28,96.16,65.23,121.31,19.0,11.46,65.33333333333333,True
4711,LPI,"Laredo Petroleum, Inc.",Energy,Oil & Gas E&P,USA,1178.48,,3.07,,1.06,5.24,22.93,2.99,,,-22.42,-153.00%,153.73%,19.50%,10.49%,2.20%,142.10%,118.60%,15.76,15.72,0.90%,-78.30%,72.60%,1.47%,14.32%,3.02,-13.60%,,-73.40%,0.3,0.3,6.02,6.02,61.10%,37.90%,-21.30%,19.76%,-0.77%,4.37%,82.61%,95.08%,23.96%,3.98,5.77,8.87%,9.07%,8.61%,11.09%,14.50%,-4.70%,39.25%,-24.90%,181.18%,57.7,6.20%,-5.19%,2.5,746.21,0.81,74.54,0.69%,603097,2/22/2022 4:30:00 PM,99.33,12/15/2011,75.0,0.62%,53.0,98,1.73,74.54,68.78,67.48,65.27,26.51,99.26,15.0,33.26,55.333333333333336,True
4713,LPLA,LPL Financial Holdings Inc.,Financial,Capital Markets,USA,15219.93,33.33,14.05,1.59,1.97,9.3,8.51,105.11,0.53%,17.20%,5.63,-11.50%,42.44%,27.40%,20.90%,6.60%,-2.30%,38.40%,80.18,79.83,0.70%,-23.04%,98.70%,1.29%,1.57%,2.47,6.60%,31.40%,12.90%,,,1.75,1.87,98.90%,9.20%,6.00%,-1.07%,6.68%,12.36%,31.54%,42.46%,17.14%,1.06,6.39,2.75%,3.72%,8.07%,11.35%,20.85%,-4.46%,24.93%,-4.46%,47.63%,63.52,0.48%,1.66%,2.0,509.27,1.31,187.53,2.15%,665703,2/3/2022 4:30:00 PM,222.5,11/18/2010,187.53,0.00%,69.0,90,1.24,187.53,174.45,169.01,155.35,127.03,196.29,34.0,18.65,64.33333333333333,True
4807,MAR,"Marriott International, Inc.",Consumer Cyclical,Lodging,USA,60682.07,128.15,34.57,,5.24,64.71,78.6,99.64,,0.00%,1.41,-121.60%,80.63%,-17.70%,,-6.10%,118.30%,75.10%,327.3,272.34,1.20%,-1.81%,61.00%,-0.83%,1.37%,1.7,1.90%,78.60%,2.60%,0.5,0.5,10.09,10.72,20.20%,7.10%,4.00%,5.63%,11.30%,16.39%,39.00%,37.96%,9.66%,1.72,5.89,3.67%,3.59%,11.55%,12.39%,21.36%,2.24%,24.29%,2.24%,42.42%,70.11,3.01%,2.67%,2.5,2199.45,1.93,181.2,5.76%,4242985,2/15/2022 8:30:00 AM,166.95,3/23/1998,180.7,-0.28%,53.0,89,1.22,181.2,163.52,161.84,149.47,127.23,177.23,14.0,-7.86,52.0,True
4814,MAT,"Mattel, Inc.",Consumer Cyclical,Leisure,USA,8995.92,9.97,14.2,1.0,1.65,6.75,60.58,20.34,,0.00%,2.54,158.80%,25.58%,-19.60%,10.00%,-4.30%,151.40%,7.70%,350.42,348.91,0.41%,-0.62%,,0.89%,7.15%,7.25,5.90%,44.30%,7.50%,1.6,1.1,1.96,2.05,48.20%,12.00%,5.90%,15.47%,13.30%,10.67%,18.33%,32.46%,17.35%,1.54,0.91,4.42%,4.27%,16.78%,17.82%,20.82%,0.24%,31.98%,0.24%,40.99%,73.33,3.94%,0.58%,2.1,3437.66,1.42,25.3,4.55%,4889771,2/9/2022 4:30:00 PM,29.54,8/12/1963,25.18,-0.47%,66.0,88,1.19,25.3,21.81,21.56,20.96,17.95,25.24,18.0,16.76,57.333333333333336,True
4846,MCB,Metropolitan Bank Holding Corp.,Financial,Banks - Regional,USA,1137.0,16.78,11.1,,6.56,1.69,0.61,37.52,,0.00%,6.35,30.90%,31.78%,53.80%,,34.40%,38.60%,25.30%,10.64,9.64,3.10%,0.70%,80.60%,6.12%,4.20%,3.27,0.90%,12.30%,15.80%,,,0.15,0.15,,77.20%,28.40%,-1.02%,-3.38%,4.54%,41.10%,114.15%,0.03%,1.27,4.12,2.94%,4.47%,2.61%,3.97%,28.58%,-7.96%,22.76%,-7.96%,123.40%,54.67,-0.08%,1.89%,2.0,123.9,1.04,106.56,1.81%,128932,1/20/2022 4:30:00 PM,140.0,11/8/2017,106.56,0.00%,69.0,99,1.85,106.56,103.77,102.77,83.09,47.7,115.78,18.0,31.38,62.0,True
4858,MCK,McKesson Corporation,Healthcare,Medical Distribution,USA,41383.55,30.59,11.9,2.36,0.16,,15.03,10.3,0.69%,19.20%,8.96,-667.60%,-3.70%,-37.30%,12.96%,4.50%,99.90%,9.60%,151.6,146.83,0.05%,-63.30%,89.80%,-1.50%,1.20%,1.66,2.20%,-235.80%,-61.00%,1.0,0.6,,,5.20%,0.90%,0.50%,-1.13%,6.78%,23.42%,34.85%,51.08%,10.19%,0.73,6.91,1.99%,2.60%,5.29%,10.32%,28.31%,-3.12%,26.20%,-3.12%,61.75%,67.71,-0.06%,1.26%,1.9,1060.43,0.88,273.9,1.19%,934412,2/2/2022 4:30:00 PM,300.87,11/10/1994,271.0,-1.06%,72.0,94,1.33,273.9,261.21,249.38,213.88,169.34,282.73,15.0,9.85,60.333333333333336,True
5037,MNRL,"Brigham Minerals, Inc.",Energy,Oil & Gas E&P,USA,1245.41,183.31,16.05,58.75,9.07,2.08,87.09,14.88,2.52%,722.20%,0.12,-669.70%,13.93%,,3.12%,,284.80%,81.80%,45.2,42.46,1.80%,-14.38%,83.60%,1.52%,1.88%,2.87,0.10%,0.10%,-10.90%,5.3,5.3,0.11,0.11,,0.40%,0.30%,3.07%,-1.55%,-4.07%,25.60%,42.63%,5.17%,,0.82,3.07%,3.80%,0.53%,2.09%,9.64%,-5.82%,14.51%,-11.93%,66.33%,51.19,-0.09%,-1.20%,1.8,278.67,1.0,22.18,-1.29%,279260,2/23/2022 4:30:00 PM,27.18,4/18/2019,22.18,0.00%,75.0,90,1.23,22.18,22.05,21.77,20.51,13.66,25.49,10.0,22.54,58.333333333333336,True
5067,MOS,The Mosaic Company,Basic Materials,Agricultural Inputs,USA,16922.03,9.8,5.92,1.4,1.54,1.66,20.08,28.71,0.99%,5.30%,4.65,160.60%,48.14%,-9.50%,7.00%,-0.50%,,43.50%,379.8,376.71,0.65%,-93.39%,80.20%,-0.03%,1.51%,1.12,8.70%,18.00%,6.80%,1.3,0.7,0.38,0.38,22.40%,16.30%,16.30%,1.45%,5.44%,20.30%,46.09%,49.79%,16.01%,1.71,2.09,5.43%,5.09%,7.23%,13.96%,26.67%,-4.14%,33.86%,-4.14%,67.42%,62.01,2.27%,-0.11%,2.4,5074.31,1.22,45.58,2.15%,6179908,2/22/2022 4:30:00 PM,48.13,1/26/1988,45.3,-0.62%,56.0,93,1.31,45.58,42.6,40.22,36.04,27.23,47.55,19.0,5.59,56.0,True
5080,MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,USA,47405.9,37.61,15.01,1.25,0.39,1.75,3.58,31.92,2.96%,19.70%,2.08,-716.80%,5.73%,-39.20%,30.11%,-0.60%,156.30%,85.90%,633.0,590.89,0.20%,-5.78%,79.30%,-0.38%,3.09%,2.65,8.60%,30.40%,-18.20%,2.0,1.5,0.96,0.97,9.00%,0.40%,6.30%,-1.11%,4.91%,18.59%,37.32%,51.11%,22.53%,1.94,2.28,2.54%,3.23%,4.16%,12.83%,24.75%,-3.66%,30.77%,-3.66%,56.23%,62.28,1.44%,-2.35%,1.8,6899.02,0.62,78.41,-0.95%,4311519,2/2/2022 8:30:00 AM,85.33,6/23/2011,78.41,0.00%,75.0,94,1.34,78.41,75.47,69.83,62.96,50.19,81.39,18.0,8.83,62.333333333333336,True
5104,MRO,Marathon Oil Corporation,Energy,Oil & Gas E&P,USA,15415.27,,9.44,,3.43,1.5,,11.27,1.17%,,-0.05,-409.20%,64.05%,6.10%,-2.40%,-8.60%,158.10%,92.00%,789.0,765.84,0.30%,-6.69%,76.70%,2.19%,3.18%,1.35,-0.20%,-0.40%,-7.70%,1.0,0.9,0.37,0.37,88.50%,3.80%,-0.90%,-2.70%,5.50%,22.63%,78.76%,114.41%,25.09%,2.84,0.91,3.64%,4.71%,1.45%,13.74%,40.78%,-7.81%,43.70%,-7.81%,125.47%,54.97,1.08%,-4.20%,2.2,18052.76,1.28,20.54,-3.16%,23023278,2/16/2022 4:30:00 PM,21.55,11/26/1965,20.59,0.24%,63.0,99,1.89,20.54,20.3,18.16,14.64,9.11,22.28,18.0,4.92,60.0,True
5138,MTB,M&T Bank Corporation,Financial,Banks - Regional,USA,23774.79,14.14,12.68,2.78,5.9,1.5,0.58,15.86,2.61%,33.80%,13.01,-27.70%,29.24%,6.70%,5.08%,5.70%,34.20%,-0.80%,128.69,128.05,0.30%,-1.21%,87.50%,-0.40%,4.86%,5.0,1.10%,10.90%,17.60%,,,0.22,0.22,,95.70%,41.50%,-0.20%,-0.76%,14.81%,33.19%,24.11%,19.76%,0.97,5.42,2.37%,3.39%,5.37%,11.46%,20.49%,-1.62%,30.00%,-1.62%,43.18%,63.58,0.59%,1.36%,2.5,1242.95,0.63,183.93,1.95%,789144,1/20/2022 8:30:00 AM,187.74,3/17/1980,183.93,0.00%,53.0,81,1.09,183.93,174.63,165.75,152.78,128.46,186.95,16.0,2.07,50.0,True
5144,MTDR,Matador Resources Company,Energy,Oil & Gas E&P,USA,4894.18,18.46,6.55,1.77,3.71,2.99,66.95,5.65,0.46%,3.10%,2.34,-781.60%,60.99%,9.30%,10.40%,22.10%,171.90%,132.30%,117.01,109.77,1.40%,0.52%,91.90%,1.60%,8.95%,6.35,7.40%,19.30%,-15.30%,0.8,0.8,0.9,0.0,72.20%,31.00%,21.30%,2.81%,-4.74%,-4.30%,57.50%,113.40%,16.93%,4.16,2.59,4.63%,6.56%,-2.15%,4.84%,19.78%,-11.50%,28.90%,-11.50%,131.97%,49.49,1.08%,-4.02%,2.1,1547.73,0.96,43.17,-2.99%,1491483,2/22/2022 4:30:00 PM,53.13,2/2/2012,43.17,0.00%,66.0,99,1.89,43.17,44.08,41.31,36.13,18.61,48.78,18.0,23.07,61.0,True
5259,NCBS,"Nicolet Bankshares, Inc.",Financial,Banks - Regional,USA,1133.68,17.41,12.98,2.49,6.61,1.36,0.8,12.12,,0.00%,5.5,3.30%,7.13%,17.30%,7.00%,25.20%,-57.90%,3.80%,14.28,10.75,2.40%,-4.51%,45.40%,4.03%,2.78%,3.58,1.40%,12.20%,9.80%,,,0.17,0.17,,79.20%,42.30%,-0.55%,8.66%,28.25%,28.87%,28.92%,11.66%,0.63,1.87,1.77%,2.38%,2.84%,9.98%,23.46%,-0.93%,30.54%,-0.93%,40.66%,67.64,0.79%,0.11%,2.0,83.57,0.53,95.75,0.90%,44573,,101.2,5/17/2013,95.75,0.00%,69.0,84,1.13,95.75,93.54,87.49,77.63,68.07,96.65,23.0,5.69,58.666666666666664,True
5303,NEX,NexTier Oilfield Solutions Inc.,Energy,Oil & Gas Equipment & Services,USA,1618.34,,22.39,,1.43,3.15,11.94,,,,-0.88,-88.00%,142.60%,-20.90%,,26.80%,59.00%,140.20%,224.48,191.21,11.50%,-0.10%,75.50%,-1.61%,1.99%,1.37,-15.70%,-36.70%,-37.20%,1.1,1.0,0.73,0.77,9.40%,-15.50%,-16.90%,16.51%,23.50%,82.06%,120.54%,93.47%,108.73%,2.56,0.45,8.66%,7.53%,19.81%,47.10%,64.03%,-4.02%,130.84%,-4.02%,142.16%,71.87,5.71%,-4.63%,1.9,2777.17,1.04,7.41,0.82%,2889803,2/21/2022 4:30:00 PM,7.06,1/20/2017,7.45,0.54%,72.0,98,1.63,7.41,6.27,5.12,4.53,3.06,7.72,12.0,-4.72,60.666666666666664,True
5358,NLOK,NortonLifeLock Inc.,Technology,Software - Infrastructure,USA,17245.43,18.63,15.37,1.5,6.27,,9.68,24.78,1.72%,32.00%,1.56,29.00%,9.15%,24.10%,12.40%,-6.70%,17.90%,9.90%,582.0,579.53,0.10%,-0.15%,98.25%,3.41%,4.60%,5.95,13.70%,-274.30%,23.60%,0.7,0.7,,,85.20%,41.00%,33.10%,-3.06%,8.44%,15.90%,12.29%,37.83%,12.20%,0.63,0.86,3.06%,3.08%,7.32%,10.91%,12.03%,-5.71%,22.48%,-5.71%,50.18%,62.48,-1.05%,-0.07%,2.1,4478.12,1.28,29.15,-1.12%,5722576,2/3/2022 4:30:00 PM,29.26,6/23/1989,29.25,0.34%,66.0,88,1.2,29.15,27.28,26.38,26.06,19.41,30.92,18.0,0.38,57.333333333333336,True
5370,NMIH,"NMI Holdings, Inc.",Financial,Insurance - Property & Casualty,USA,2210.27,10.34,8.19,0.45,4.71,1.48,22.72,7.2,,0.00%,2.52,-12.20%,18.12%,45.70%,23.20%,51.00%,55.30%,15.60%,85.72,84.73,1.18%,-0.11%,96.10%,-2.39%,1.58%,1.91,9.70%,15.30%,11.10%,,,0.26,0.26,,66.50%,46.70%,-1.77%,2.19%,21.43%,18.19%,14.81%,19.54%,1.55,1.02,3.44%,4.24%,4.51%,12.61%,14.18%,-2.65%,34.22%,-2.65%,34.43%,59.73,2.03%,1.19%,1.6,700.38,0.79,26.12,3.24%,552342,2/15/2022 4:30:00 PM,31.8,11/8/2013,26.8,2.60%,81.0,71,0.98,26.12,25.03,23.32,22.88,19.43,26.83,13.0,21.75,55.0,True
5397,NOG,"Northern Oil and Gas, Inc.",Energy,Oil & Gas E&P,USA,1726.76,,4.04,,7.58,,863.38,5.14,1.33%,,-6.36,-978.70%,60.66%,33.10%,36.30%,15.00%,102.50%,178.00%,65.86,63.67,3.40%,-20.67%,62.70%,6.48%,13.60%,7.41,-31.90%,178.60%,-117.10%,0.5,0.5,,,8.10%,,,8.26%,1.09%,-0.17%,51.64%,102.27%,17.15%,2.29,1.48,5.73%,6.91%,2.93%,10.67%,20.56%,-5.34%,37.65%,-13.49%,121.19%,55.71,3.65%,-5.72%,1.7,1168.49,0.88,24.11,-2.27%,1030418,2/25/2022 8:30:00 AM,35.42,1/10/2007,24.0,-0.46%,78.0,98,1.76,24.11,23.46,21.89,20.04,10.9,27.87,21.0,46.91,65.66666666666667,True
5403,NOV,NOV Inc.,Energy,Oil & Gas Equipment & Services,USA,6195.29,,21.34,,1.12,1.29,,13.5,1.20%,,-0.65,53.80%,340.45%,-30.00%,41.00%,-16.20%,57.40%,-3.10%,387.0,361.68,0.55%,-0.40%,96.40%,0.08%,3.94%,3.23,-5.60%,-10.60%,-36.40%,2.7,2.0,0.38,0.39,14.00%,-8.20%,-9.80%,6.42%,1.27%,25.04%,32.67%,16.10%,23.47%,2.03,0.76,4.83%,4.92%,1.62%,11.86%,14.66%,-5.51%,42.02%,-7.16%,45.99%,56.32,2.89%,-2.69%,2.4,4415.67,0.99,16.73,0.12%,4375170,2/3/2022 4:30:00 PM,18.25,10/29/1996,16.73,0.00%,56.0,73,1.01,16.73,16.48,15.05,14.6,11.46,18.02,7.0,9.09,45.333333333333336,True
5415,NR,"Newpark Resources, Inc.",Energy,Oil & Gas Equipment & Services,USA,328.71,,17.42,,0.58,0.73,10.54,36.93,,,-0.44,-520.50%,195.50%,4.00%,,-6.20%,56.70%,57.50%,91.93,89.12,1.50%,2.31%,67.70%,-4.77%,1.22%,1.74,-5.70%,-8.40%,-11.50%,2.6,1.6,0.15,0.2,12.90%,-4.70%,-7.10%,3.92%,1.92%,13.80%,70.97%,9.12%,26.19%,3.26,0.18,4.93%,5.45%,2.18%,13.06%,15.85%,-5.22%,40.53%,-9.07%,93.23%,57.74,2.77%,-1.90%,2.0,625.0,0.67,3.71,0.82%,417300,2/17/2022 4:30:00 PM,4.0,9/6/1990,3.71,0.00%,69.0,77,1.05,3.71,3.64,3.3,3.21,1.92,4.08,3.0,7.82,49.666666666666664,True
5475,NUAN,"Nuance Communications, Inc.",Technology,Software - Application,USA,17674.86,,134.9,,13.21,10.87,192.33,118.78,,,-0.26,-27.80%,36.67%,-6.70%,5.20%,-6.90%,-919.60%,-7.10%,317.36,296.59,0.50%,-54.52%,85.00%,1.62%,12.65%,6.73,-2.90%,-6.40%,3.00%,0.6,0.6,0.31,0.52,59.90%,2.10%,-7.40%,0.02%,-0.09%,0.60%,0.73%,13.81%,-0.02%,1.11,0.21,0.31%,0.45%,0.16%,0.22%,0.93%,-0.34%,1.45%,-0.43%,38.62%,51.99,-0.09%,0.20%,2.2,5575.67,1.09,55.31,0.11%,6080298,2/7/2022 4:30:00 PM,57.0,12/11/1995,55.31,0.00%,63.0,72,0.99,55.31,55.22,55.19,54.81,39.9,55.55,18.0,3.06,51.0,True
5549,NXST,"Nexstar Media Group, Inc.",Communication Services,Broadcasting,USA,7551.94,8.77,7.18,0.54,1.58,2.9,38.97,7.61,1.54%,12.20%,20.8,261.50%,45.40%,48.30%,16.32%,38.10%,-4.40%,3.50%,41.68,38.81,1.40%,-63.95%,97.90%,0.64%,4.62%,4.59,7.00%,36.20%,10.10%,1.8,1.8,2.87,2.89,62.30%,28.60%,19.60%,3.92%,7.28%,6.96%,26.31%,45.70%,20.79%,1.56,6.05,3.21%,3.88%,8.91%,14.98%,19.58%,-1.71%,30.56%,-1.71%,47.20%,68.06,2.39%,0.74%,1.6,390.55,0.75,182.37,3.15%,293878,2/22/2022 8:30:00 AM,189.89,11/24/2003,181.16,-0.66%,81.0,91,1.26,182.37,168.31,159.18,152.68,123.89,185.55,22.0,4.12,64.66666666666667,True
